account_age_days,orders_count,total_spent,avg_order_value,days_since_last_order,favorites_count,churned
182,3,245.16,81.72,123,1,1
417,3,52.17,17.39,85,3,1
262,9,1551.51,172.39,107,2,0
330,5,434.95,86.99,159,3,1
748,3,237.3,79.1,111,2,1
690,8,313.12,39.14,89,5,0
665,2,98.44,49.22,156,3,1
396,4,103.68,25.92,116,2,1
1050,5,188.45,37.69,168,3,1
96,5,558.1,111.62,96,3,0
375,2,40.5,20.25,124,3,1
130,3,578.34,192.78,94,4,0
371,5,621.45,124.29,153,3,1
1053,3,234.33,78.11,55,4,0
401,7,251.09,35.87,98,4,1
994,4,383.48,95.87,163,0,1
542,6,543.18,90.53,39,3,0
766,3,132.3,44.1,79,0,1
501,3,257.49,85.83,5,3,0
291,4,213.84,53.46,103,7,1
837,7,114.1,16.3,63,5,1
1061,4,108.84,27.21,101,2,1
289,4,486.88,121.72,43,3,0
852,4,191.56,47.89,149,3,1
286,5,201.9,40.38,178,1,1
785,1,69.48,69.48,97,3,1
864,2,24.58,12.29,110,4,1
492,6,389.28,64.88,83,2,0
807,3,216.75,72.25,54,1,1
298,7,660.17,94.31,83,3,0
87,3,92.88,30.96,87,0,1
106,1,43.58,43.58,106,3,1
490,3,213.66,71.22,125,7,0
988,5,164.9,32.98,60,1,1
140,5,374.15,74.83,112,1,0
499,3,208.08,69.36,169,1,0
771,3,34.47,11.49,76,3,0
222,6,660.78,110.13,153,7,0
790,8,268.88,33.61,86,4,0
335,4,263.84,65.96,25,0,0
885,4,695.24,173.81,33,6,0
634,4,144.72,36.18,58,0,0
599,11,930.93,84.63,105,2,0
194,6,1192.92,198.82,164,4,0
507,4,368.96,92.24,71,2,0
938,4,494.96,123.74,51,2,0
22,5,143.1,28.62,22,4,0
830,7,1040.27,148.61,58,3,0
540,5,82.85,16.57,79,1,0
788,8,708.08,88.51,40,4,0
726,7,449.82,64.26,54,3,0
473,5,262.5,52.5,10,2,0
338,3,140.1,46.7,103,1,1
687,2,187.0,93.5,87,3,0
154,5,196.0,39.2,31,3,0
640,5,241.85,48.37,136,4,1
104,3,266.67,88.89,37,3,0
711,4,483.48,120.87,119,1,1
688,2,119.8,59.9,21,2,0
93,4,608.28,152.07,5,4,0
829,1,71.97,71.97,23,3,0
455,3,203.37,67.79,95,2,1
861,8,2055.04,256.88,33,4,0
46,3,243.87,81.29,46,6,0
197,6,1107.3,184.55,97,2,0
541,5,1222.3,244.46,116,3,0
206,1,29.4,29.4,142,4,1
361,5,193.9,38.78,73,2,0
723,4,77.6,19.4,20,4,1
159,9,878.49,97.61,159,3,0
742,2,196.98,98.49,140,4,1
114,3,134.61,44.87,114,3,1
192,3,32.37,10.79,167,3,1
643,1,83.73,83.73,127,1,1
869,5,104.2,20.84,179,4,1
187,4,227.76,56.94,93,6,0
329,4,403.44,100.86,101,3,1
1013,6,424.8,70.8,107,3,0
1083,2,240.54,120.27,92,4,1
636,3,164.55,54.85,80,2,1
490,1,40.02,40.02,60,3,0
380,5,174.45,34.89,144,2,1
671,7,694.82,99.26,60,1,0
647,2,122.96,61.48,164,2,1
323,4,154.56,38.64,135,0,1
25,2,162.64,81.32,25,2,0
166,2,36.06,18.03,117,4,1
1049,3,201.42,67.14,108,2,1
458,1,76.58,76.58,61,2,1
528,4,332.24,83.06,123,4,1
512,2,305.3,152.65,105,2,0
857,5,264.65,52.93,72,3,0
72,6,463.68,77.28,13,3,0
91,4,340.12,85.03,2,3,0
302,6,371.7,61.95,42,3,0
533,3,81.27,27.09,127,3,0
735,2,209.94,104.97,166,1,1
537,2,21.3,10.65,169,1,1
483,6,170.22,28.37,95,3,1
1026,5,259.8,51.96,155,1,1
177,1,28.3,28.3,1,3,0
626,4,267.96,66.99,159,4,1
594,5,636.2,127.24,174,1,0
518,4,753.8,188.45,73,9,0
884,1,62.69,62.69,9,4,0
293,4,323.88,80.97,129,5,0
1044,4,267.04,66.76,3,2,0
363,4,242.0,60.5,115,4,1
597,9,546.57,60.73,58,3,0
570,2,336.92,168.46,98,3,1
930,2,25.88,12.94,166,1,1
481,6,661.86,110.31,28,1,0
312,3,107.67,35.89,7,2,0
24,4,222.52,55.63,24,4,0
398,3,81.99,27.33,126,3,1
904,8,205.6,25.7,54,5,0
11,4,482.6,120.65,11,4,0
981,3,124.44,41.48,127,3,1
594,4,261.56,65.39,125,0,1
154,5,437.05,87.41,154,0,1
331,5,761.75,152.35,156,6,1
607,7,184.66,26.38,131,4,0
346,5,791.15,158.23,4,3,0
119,3,226.38,75.46,47,8,0
729,4,293.72,73.43,118,2,1
736,3,157.74,52.58,84,1,0
131,8,379.6,47.45,10,3,0
308,2,37.44,18.72,102,4,1
267,4,531.8,132.95,137,2,1
722,7,173.18,24.74,131,4,1
799,2,86.92,43.46,167,3,1
796,5,604.3,120.86,27,6,0
1028,5,299.1,59.82,172,3,1
841,5,148.15,29.63,95,4,0
351,3,317.88,105.96,56,0,0
118,3,143.22,47.74,118,4,1
673,2,86.02,43.01,19,3,1
1003,5,127.6,25.52,5,4,0
1067,5,227.85,45.57,132,3,1
252,3,154.98,51.66,131,1,1
259,6,517.86,86.31,17,3,0
41,3,114.33,38.11,41,2,0
155,2,270.48,135.24,152,2,1
608,6,736.86,122.81,144,1,0
599,2,245.62,122.81,71,1,1
406,6,432.72,72.12,168,4,1
340,2,203.64,101.82,24,5,0
908,0,0.0,96.3,908,3,1
504,4,460.28,115.07,152,7,0
885,1,121.49,121.49,94,2,1
1054,4,395.16,98.79,63,3,0
347,1,100.03,100.03,86,4,1
222,4,378.52,94.63,9,2,0
1043,8,801.28,100.16,6,2,0
695,1,68.08,68.08,61,1,0
319,4,175.12,43.78,4,3,0
681,3,91.41,30.47,115,4,1
564,4,101.2,25.3,116,2,1
991,4,129.76,32.44,154,3,1
281,3,351.75,117.25,50,2,0
1085,2,293.3,146.65,147,2,1
1025,3,292.02,97.34,56,3,0
198,5,382.1,76.42,98,4,0
181,7,130.9,18.7,146,6,0
584,1,60.91,60.91,64,1,1
50,3,126.57,42.19,21,3,0
327,1,42.19,42.19,147,2,1
476,3,212.1,70.7,52,5,0
1061,4,387.76,96.94,40,3,0
1086,8,531.12,66.39,124,3,1
166,2,416.34,208.17,97,5,0
976,2,150.06,75.03,6,1,0
100,3,49.59,16.53,100,6,1
819,5,845.85,169.17,94,4,0
926,4,256.52,64.13,49,3,0
975,5,730.55,146.11,16,6,0
245,1,24.81,24.81,124,3,1
978,5,189.35,37.87,138,3,1
127,2,64.16,32.08,127,4,1
568,1,115.45,115.45,115,0,0
514,1,132.52,132.52,158,3,1
346,8,717.44,89.68,110,5,0
25,2,157.22,78.61,25,5,0
845,3,53.34,17.78,40,5,0
368,5,203.05,40.61,70,4,0
724,4,178.48,44.62,131,8,1
449,2,42.66,21.33,5,4,0
409,1,62.16,62.16,55,2,1
970,4,364.16,91.04,78,3,0
104,5,541.55,108.31,103,2,0
806,4,379.36,94.84,27,1,0
817,2,109.3,54.65,17,4,0
416,4,187.12,46.78,164,7,1
288,7,397.67,56.81,18,3,0
6,5,305.45,61.09,6,1,0
1025,3,93.27,31.09,35,7,0
1037,2,96.96,48.48,62,5,0
264,4,172.12,43.03,39,3,0
35,6,945.06,157.51,35,2,0
135,3,341.43,113.81,23,4,0
75,4,361.92,90.48,26,4,0
910,5,174.85,34.97,22,2,0
976,5,507.0,101.4,118,4,1
168,3,119.1,39.7,159,1,1
817,3,306.24,102.08,30,1,0
197,3,167.13,55.71,100,3,1
402,5,627.05,125.41,68,4,0
656,3,72.39,24.13,112,5,1
788,5,495.9,99.18,117,4,0
957,3,395.19,131.73,52,7,1
49,5,288.35,57.67,49,3,0
215,6,330.42,55.07,10,4,0
307,11,723.91,65.81,88,1,0
340,3,269.67,89.89,175,4,1
1092,6,273.12,45.52,162,2,1
851,3,123.24,41.08,10,2,0
351,8,1368.56,171.07,11,6,0
1064,8,426.96,53.37,149,1,1
547,4,253.72,63.43,38,2,0
548,1,49.42,49.42,120,3,1
475,3,282.51,94.17,98,3,0
158,4,172.0,43.0,74,3,0
1023,4,241.08,60.27,56,3,0
16,4,470.56,117.64,16,3,0
191,5,543.9,108.78,47,3,0
252,6,316.32,52.72,138,7,0
306,8,535.04,66.88,42,1,1
145,3,108.63,36.21,145,5,1
20,4,267.28,66.82,20,5,0
742,4,757.52,189.38,99,9,0
1061,8,836.08,104.51,18,0,0
134,2,72.02,36.01,39,4,0
325,6,129.78,21.63,114,3,1
554,3,109.89,36.63,104,5,0
1015,2,56.24,28.12,19,2,1
760,5,302.85,60.57,18,1,0
839,3,370.44,123.48,110,2,1
636,8,488.24,61.03,68,3,0
457,2,86.72,43.36,86,0,1
219,4,213.92,53.48,110,3,1
946,5,443.1,88.62,153,0,1
880,2,146.02,73.01,46,2,1
28,5,186.1,37.22,28,4,0
783,2,209.72,104.86,156,3,1
93,2,64.76,32.38,93,3,0
809,3,209.88,69.96,176,1,1
904,5,244.35,48.87,1,0,0
144,3,173.43,57.81,14,2,1
475,5,166.85,33.37,157,6,1
136,2,134.68,67.34,38,0,0
621,4,123.52,30.88,53,1,0
1015,4,186.52,46.63,86,2,1
89,2,111.26,55.63,89,5,1
435,4,150.72,37.68,7,2,0
1065,1,136.09,136.09,117,4,1
330,4,186.16,46.54,17,5,0
145,3,159.84,53.28,67,3,0
535,14,922.6,65.9,163,3,0
557,10,250.6,25.06,23,2,0
726,5,91.6,18.32,9,2,0
344,3,167.04,55.68,86,1,1
1046,4,82.88,20.72,45,4,1
570,3,237.72,79.24,45,2,0
314,3,244.44,81.48,77,4,0
1051,4,316.92,79.23,31,5,0
1012,1,100.27,100.27,4,2,1
547,10,555.3,55.53,167,4,0
28,4,553.32,138.33,28,2,0
654,6,447.9,74.65,75,2,0
608,3,396.06,132.02,150,0,1
163,1,97.62,97.62,163,1,1
694,6,340.44,56.74,72,2,0
920,2,148.64,74.32,29,5,0
116,1,88.24,88.24,37,3,0
792,6,104.82,17.47,173,2,1
154,2,50.64,25.32,154,3,1
820,6,920.88,153.48,126,5,0
459,2,175.48,87.74,123,5,1
8,5,578.25,115.65,8,4,0
1058,4,220.28,55.07,95,1,1
182,2,266.98,133.49,67,0,1
653,8,457.28,57.16,71,1,0
199,3,261.93,87.31,131,2,0
1021,4,576.8,144.2,98,0,0
808,3,281.31,93.77,78,2,1
880,5,162.9,32.58,45,2,0
473,4,238.72,59.68,118,4,1
512,3,228.39,76.13,81,0,1
694,2,181.6,90.8,10,5,0
859,5,623.0,124.6,124,1,0
927,6,547.44,91.24,61,4,0
20,5,306.9,61.38,20,3,0
726,3,160.8,53.6,178,4,1
120,8,443.36,55.42,120,5,0
315,5,235.45,47.09,13,1,0
908,5,228.3,45.66,133,3,1
275,4,456.92,114.23,53,4,0
872,4,279.4,69.85,136,0,0
507,4,190.84,47.71,63,4,0
255,1,64.84,64.84,103,1,1
366,3,149.34,49.78,126,3,1
581,2,38.36,19.18,34,6,0
838,6,551.4,91.9,25,5,0
663,5,591.9,118.38,127,2,0
1021,3,320.04,106.68,13,2,0
950,2,205.96,102.98,148,1,1
825,3,93.27,31.09,78,1,0
660,2,266.26,133.13,17,1,1
318,1,44.33,44.33,138,8,1
452,3,83.07,27.69,162,2,1
131,4,48.12,12.03,13,3,0
410,6,450.72,75.12,170,2,0
1014,2,270.02,135.01,75,5,0
466,2,248.78,124.39,121,3,0
125,4,264.72,66.18,48,5,0
714,3,336.75,112.25,20,3,0
1054,3,579.36,193.12,178,2,1
950,3,155.16,51.72,118,3,1
300,2,170.86,85.43,46,6,0
497,3,409.5,136.5,65,4,0
581,9,255.06,28.34,137,5,1
272,3,90.39,30.13,55,5,1
294,5,744.35,148.87,124,2,0
259,4,456.2,114.05,7,2,0
1089,8,334.08,41.76,178,2,1
817,7,234.08,33.44,131,4,0
920,5,153.75,30.75,61,1,1
894,3,221.13,73.71,103,5,1
1050,4,169.16,42.29,32,3,0
116,4,171.48,42.87,82,4,1
965,4,123.36,30.84,64,5,1
73,3,202.56,67.52,70,4,0
521,4,113.28,28.32,147,0,1
651,6,557.22,92.87,75,4,0
392,9,1139.67,126.63,2,5,0
160,9,680.85,75.65,82,2,0
211,7,796.18,113.74,10,4,0
903,1,59.66,59.66,86,3,0
349,6,231.42,38.57,123,0,1
340,3,156.15,52.05,18,1,0
1011,4,86.2,21.55,12,2,0
158,3,133.02,44.34,69,1,1
1002,3,173.7,57.9,87,1,1
1008,5,329.05,65.81,12,1,0
655,1,115.77,115.77,59,3,0
182,8,1115.04,139.38,140,2,0
171,6,443.1,73.85,103,8,0
312,3,97.68,32.56,95,1,0
632,2,64.66,32.33,19,3,0
169,5,224.25,44.85,144,1,1
499,2,80.16,40.08,107,3,1
127,2,149.62,74.81,78,1,1
592,4,135.0,33.75,111,4,1
24,4,565.36,141.34,24,6,0
776,2,210.98,105.49,122,2,0
61,4,472.72,118.18,54,4,0
214,0,0.0,43.53,214,4,1
192,2,67.48,33.74,43,3,0
910,4,167.76,41.94,66,3,0
59,3,206.25,68.75,59,4,0
470,1,64.41,64.41,42,6,1
647,8,1066.16,133.27,143,1,0
565,2,294.28,147.14,48,4,0
745,3,212.91,70.97,21,1,1
879,3,75.93,25.31,41,3,1
431,1,54.2,54.2,73,2,0
907,8,1945.28,243.16,9,3,0
348,8,210.72,26.34,17,4,0
1077,4,306.4,76.6,29,4,0
552,4,167.08,41.77,71,1,0
806,4,727.12,181.78,172,4,1
958,1,80.65,80.65,105,1,1
868,7,294.28,42.04,15,4,0
932,3,147.81,49.27,13,1,0
587,4,66.12,16.53,19,4,0
48,4,303.68,75.92,12,4,0
540,8,618.32,77.29,91,5,0
199,2,52.16,26.08,132,2,1
973,5,460.85,92.17,79,1,1
259,3,438.03,146.01,74,0,0
250,1,30.16,30.16,108,5,1
273,2,181.92,90.96,64,1,1
703,8,738.32,92.29,146,3,0
625,2,142.4,71.2,124,2,0
1039,6,444.24,74.04,178,2,1
456,5,240.55,48.11,16,1,0
309,3,48.12,16.04,79,4,1
54,2,159.14,79.57,54,5,0
8,3,313.71,104.57,8,3,0
409,2,70.54,35.27,140,1,1
1013,5,211.65,42.33,85,3,0
573,3,117.39,39.13,71,1,0
978,5,414.95,82.99,136,2,1
112,5,381.55,76.31,85,8,1
103,6,220.74,36.79,74,3,0
912,2,126.78,63.39,72,1,0
117,3,194.01,64.67,23,4,0
57,0,0.0,80.4,57,5,0
443,0,0.0,51.44,443,3,1
1012,3,363.99,121.33,6,5,0
755,3,243.06,81.02,73,3,0
109,2,240.28,120.14,109,6,0
916,7,558.74,79.82,28,2,0
923,2,167.84,83.92,55,1,0
876,4,90.76,22.69,174,3,1
988,3,228.72,76.24,141,5,1
263,6,374.94,62.49,158,4,1
1072,3,381.78,127.26,178,5,1
351,4,468.64,117.16,123,4,0
878,5,673.95,134.79,51,2,0
634,2,86.0,43.0,172,1,1
853,7,457.1,65.3,81,0,1
687,4,568.04,142.01,98,2,0
703,5,211.4,42.28,99,1,0
675,5,638.7,127.74,99,1,0
853,1,119.9,119.9,100,3,1
809,3,192.0,64.0,140,4,1
148,4,648.88,162.22,29,2,0
904,3,368.46,122.82,80,4,1
587,4,114.24,28.56,105,6,1
354,4,593.36,148.34,101,3,1
563,6,384.6,64.1,131,1,1
1058,3,248.73,82.91,61,1,0
939,4,332.64,83.16,170,4,1
913,2,189.88,94.94,3,2,0
507,4,574.96,143.74,131,2,0
858,2,164.52,82.26,31,2,0
422,0,0.0,61.44,422,4,1
751,5,180.15,36.03,5,6,0
700,5,248.3,49.66,42,4,1
274,3,354.36,118.12,71,4,1
292,4,530.16,132.54,18,4,0
67,3,159.78,53.26,60,1,0
153,4,422.16,105.54,115,3,1
475,8,376.16,47.02,30,2,0
523,4,75.52,18.88,113,2,1
181,3,76.62,25.54,85,5,1
457,7,869.47,124.21,152,2,0
661,6,117.84,19.64,115,2,1
255,3,301.29,100.43,81,2,0
371,4,314.32,78.58,149,3,1
403,4,514.04,128.51,31,0,0
553,3,220.74,73.58,103,2,1
401,2,178.78,89.39,41,2,0
807,3,232.29,77.43,82,6,1
359,0,0.0,83.49,359,3,1
475,2,133.36,66.68,108,7,0
416,7,632.59,90.37,57,2,0
201,4,227.92,56.98,120,3,1
751,5,567.55,113.51,33,2,0
258,5,363.95,72.79,31,4,0
325,2,217.44,108.72,20,2,0
868,3,128.4,42.8,87,1,1
1039,1,53.99,53.99,75,7,1
734,6,155.76,25.96,149,2,1
1003,5,421.95,84.39,61,4,0
935,6,493.08,82.18,105,3,1
527,5,244.65,48.93,174,2,1
843,2,137.34,68.67,111,2,1
360,3,106.53,35.51,155,3,1
504,5,599.4,119.88,92,5,0
586,3,353.01,117.67,34,9,0
1051,2,133.42,66.71,81,0,0
929,4,238.76,59.69,136,2,1
536,5,112.35,22.47,21,2,0
714,2,213.92,106.96,87,3,1
222,4,159.28,39.82,94,3,0
881,1,112.1,112.1,167,2,1
606,4,101.64,25.41,176,3,1
583,7,241.92,34.56,110,1,0
839,6,179.04,29.84,39,1,0
693,5,193.45,38.69,37,3,0
80,0,0.0,218.09,80,2,1
316,1,62.06,62.06,36,2,0
194,2,195.76,97.88,122,3,0
804,8,268.16,33.52,175,1,1
39,4,171.88,42.97,34,3,0
222,3,517.5,172.5,166,2,1
654,5,317.3,63.46,7,2,0
761,2,149.32,74.66,87,3,1
551,6,525.18,87.53,70,6,0
942,3,480.84,160.28,102,1,1
1006,5,52.35,10.47,88,7,1
145,4,496.44,124.11,99,2,0
1043,7,968.17,138.31,22,5,0
673,2,185.46,92.73,138,2,1
697,2,113.44,56.72,170,3,1
105,4,321.76,80.44,86,6,1
681,2,63.88,31.94,155,4,1
794,4,66.4,16.6,23,3,0
636,4,300.16,75.04,132,3,0
93,5,33.7,6.74,59,8,0
573,2,96.16,48.08,121,4,1
1024,5,175.55,35.11,103,4,1
792,4,225.92,56.48,8,3,0
151,4,237.32,59.33,64,4,0
1051,6,174.36,29.06,79,7,0
1050,4,359.56,89.89,147,1,1
186,5,667.75,133.55,20,3,0
877,5,159.5,31.9,171,0,1
445,2,60.88,30.44,9,2,0
650,8,518.56,64.82,44,5,0
488,2,34.04,17.02,26,3,0
857,4,263.0,65.75,161,5,1
1091,6,744.18,124.03,103,0,0
870,4,122.36,30.59,129,2,1
1019,4,617.6,154.4,124,3,0
1035,7,359.73,51.39,106,1,1
99,4,224.36,56.09,54,3,0
278,3,135.63,45.21,24,4,0
790,3,313.23,104.41,79,4,1
646,2,142.38,71.19,74,0,1
55,3,159.75,53.25,55,2,0
104,5,197.6,39.52,104,1,1
570,4,312.88,78.22,24,0,1
675,3,416.64,138.88,117,4,0
184,2,112.46,56.23,29,3,1
188,5,350.05,70.01,107,3,0
142,4,91.24,22.81,122,0,1
619,2,138.98,69.49,7,2,1
9,5,1098.75,219.75,9,1,0
627,3,84.39,28.13,58,4,1
521,5,410.5,82.1,88,5,0
510,7,329.07,47.01,88,3,1
744,1,21.62,21.62,86,4,1
572,3,153.27,51.09,116,2,1
797,5,957.55,191.51,37,2,0
836,3,243.96,81.32,155,3,1
1007,5,380.95,76.19,152,1,1
875,4,120.36,30.09,83,5,1
567,3,354.39,118.13,164,6,1
539,2,288.74,144.37,50,5,0
258,4,564.84,141.21,37,1,1
656,3,340.68,113.56,51,2,0
153,5,185.45,37.09,141,3,1
1019,4,125.76,31.44,25,1,0
925,3,45.96,15.32,55,6,0
131,5,168.8,33.76,27,7,0
860,8,637.36,79.67,80,5,0
129,1,33.43,33.43,55,1,0
790,3,364.23,121.41,148,3,1
96,6,793.26,132.21,96,4,0
535,4,511.88,127.97,160,1,0
720,5,93.15,18.63,75,4,0
798,5,381.45,76.29,96,2,1
458,4,284.4,71.1,155,7,1
1009,1,125.97,125.97,129,4,1
848,8,177.04,22.13,171,3,1
228,3,211.68,70.56,177,7,1
735,2,43.44,21.72,14,2,0
800,0,0.0,115.55,800,5,1
365,6,57.42,9.57,128,5,1
808,5,945.5,189.1,18,0,0
983,4,363.52,90.88,16,2,1
894,1,64.67,64.67,25,2,1
835,1,43.2,43.2,13,4,0
695,4,517.08,129.27,120,4,1
296,3,67.56,22.52,50,3,1
870,5,47.25,9.45,170,2,1
399,7,615.79,87.97,19,2,0
583,2,123.56,61.78,83,5,0
344,1,79.58,79.58,120,1,1
343,2,145.72,72.86,65,4,0
173,2,190.86,95.43,129,4,1
1052,5,324.35,64.87,152,5,1
162,2,101.82,50.91,116,4,1
95,2,132.42,66.21,95,2,1
1025,3,313.35,104.45,104,3,1
608,4,435.24,108.81,179,5,1
480,4,327.0,81.75,141,3,1
807,3,36.9,12.3,11,3,0
420,4,305.4,76.35,140,3,1
140,2,39.28,19.64,30,1,0
799,2,223.98,111.99,157,4,1
193,6,620.4,103.4,59,5,0
605,5,178.75,35.75,125,4,1
1039,10,935.5,93.55,133,1,0
1025,6,414.6,69.1,65,4,0
395,2,81.02,40.51,174,3,1
854,4,370.0,92.5,95,1,1
671,6,904.5,150.75,77,2,0
525,4,198.36,49.59,89,1,1
